,zip,city,pop,state,loc
27078,92227,BRAWLEY,20199,CA,"['-115.529613', '32.979181']"
27079,92230,CABAZON,1697,CA,"['-116.773948', '33.908583']"
27080,92231,CALEXICO,22345,CA,"['-115.502815', '32.683227']"
27081,92233,CALIPATRIA,4847,CA,"['-115.511402', '33.166956']"
27082,92234,CATHEDRAL CITY,29640,CA,"['-116.466497', '33.809839']"
27083,92236,COACHELLA,17147,CA,"['-116.177231', '33.674965']"
27084,92239,EAGLE MOUNTAIN,4499,CA,"['-115.052603', '33.604941']"
27085,92240,DESERT HOT SPRIN,686,CA,"['-116.366222', '33.904973']"
27086,92242,BIG RIVER,976,CA,"['-114.33928', '34.149142']"
27087,92243,EL CENTRO,39246,CA,"['-115.566508', '32.789332']"
27088,92249,HEBER,206,CA,"['-115.428281', '32.698918']"
27089,92250,HOLTVILLE,7060,CA,"['-115.377456', '32.810387']"
27090,92251,IMPERIAL,6092,CA,"['-115.572984', '32.846954']"
27091,92252,JOSHUA TREE,8227,CA,"['-116.303763', '34.150163']"
27092,92253,LA QUINTA,9392,CA,"['-116.308081', '33.668474']"
27093,92256,MORONGO VALLEY,2721,CA,"['-116.565641', '34.060646']"
27094,92257,NILAND,875,CA,"['-115.696455', '33.378373']"
27095,92260,PALM CITY,31975,CA,"['-116.366442', '33.730842']"
27096,92262,PALM SPRINGS,22808,CA,"['-116.53466', '33.841406']"
27097,92264,PALM SPRINGS,18733,CA,"['-116.516958', '33.801828']"
27098,92267,PARKER DAM,141,CA,"['-114.155969', '34.297977']"
27099,92270,RANCHO MIRAGE,9737,CA,"['-116.422451', '33.764284']"
27100,92272,BLYTHE,18605,CA,"['-116.495855', '33.951256']"
27101,92274,SALTON CITY,19112,CA,"['-116.11584', '33.543418']"
27102,92276,THOUSAND PALMS,5557,CA,"['-116.371305', '33.808158']"
27103,92277,TWENTYNINE PALMS,13371,CA,"['-116.060133', '34.145509']"
27104,92278,TWENTYNINE PALMS,11412,CA,"['-116.06041', '34.237969']"
27105,92280,VIDAL,40,CA,"['-114.565602', '34.156109']"
27106,92281,WESTMORLAND,1902,CA,"['-115.630723', '33.041058']"
27107,92282,WHITE WATER,420,CA,"['-116.693154', '33.927591']"
27108,92283,FELICITY,3867,CA,"['-114.636634', '32.832922']"
27109,92284,YUCCA VALLEY,22131,CA,"['-116.431313', '34.155936']"
27110,92301,ADELANTO,7176,CA,"['-117.424189', '34.584128']"
27111,92304,AMBOY,29,CA,"['-115.774907', '34.599012']"
27112,92305,ANGELUS OAKS,238,CA,"['-116.948482', '34.153149']"
27113,92307,APPLE VALLEY,26066,CA,"['-117.2132', '34.529081']"
27114,92308,APPLE VALLEY,24973,CA,"['-117.192684', '34.469814']"
27115,92309,BAKER,606,CA,"['-116.063754', '35.360573']"
27116,92310,FORT IRWIN,6735,CA,"['-116.644759', '35.40148']"
27117,92311,BARSTOW,33076,CA,"['-117.038702', '34.89145']"
27118,92314,BIG BEAR CITY,18959,CA,"['-116.920412', '34.242233']"
27119,92316,BLOOMINGTON,22916,CA,"['-117.399295', '34.066198']"
27120,92320,CALIMESA,6345,CA,"['-117.04304', '33.994586']"
27121,92324,GRAND TERRACE,53822,CA,"['-117.318577', '34.057964']"
27122,92327,DAGGETT,701,CA,"['-116.887555', '34.86677']"
27123,92328,DEATH VALLEY,440,CA,"['-116.893682', '36.467165']"
27124,92332,ESSEX,214,CA,"['-115.280344', '34.560626']"
27125,92335,FONTANA,81255,CA,"['-117.455114', '34.079351']"
27126,92336,FONTANA,27957,CA,"['-117.437759', '34.117276']"
27127,92338,LUDLOW,383,CA,"['-116.386202', '34.901779']"
27128,92339,FOREST FALLS,842,CA,"['-116.914147', '34.08805']"
27129,92342,HELENDALE,3612,CA,"['-117.33666', '34.749859']"
27130,92345,HESPERIA,52170,CA,"['-117.302527', '34.422215']"
27131,92346,EAST HIGHLAND,37484,CA,"['-117.208717', '34.126969']"
27132,92347,HINKLEY,1905,CA,"['-117.180867', '34.92788']"
27133,92351,KELSO,30,CA,"['-115.577574', '34.9678']"
27134,92354,LOMA LINDA,17855,CA,"['-117.251286', '34.052833']"
27135,92356,LUCERNE VALLEY,4353,CA,"['-116.918857', '34.44695']"
27136,92358,LYTLE CREEK,625,CA,"['-117.518613', '34.255755']"
27137,92359,MENTONE,5832,CA,"['-117.112581', '34.077372']"
27138,92363,NEEDLES,6316,CA,"['-114.587134', '34.782369']"
27139,92364,NIPTON,390,CA,"['-115.481436', '35.46761']"
27140,92365,NEWBERRY SPRINGS,4296,CA,"['-116.746373', '34.885001']"
27141,92368,ORO GRANDE,852,CA,"['-117.332733', '34.617832']"
27142,92371,PHELAN,13508,CA,"['-117.519604', '34.444901']"
27143,92372,PINON HILLS,1741,CA,"['-117.640262', '34.442937']"
27144,92373,REDLANDS,29784,CA,"['-117.180352', '34.039659']"
27145,92374,REDLANDS,36952,CA,"['-117.167182', '34.064989']"
27146,92376,RIALTO,75341,CA,"['-117.377133', '34.113155']"
27147,92384,SHOSHONE,353,CA,"['-116.264476', '35.899239']"
27148,92389,TECOPA,48,CA,"['-115.829824', '35.897925']"
27149,92392,SPRING VALLEY LA,51968,CA,"['-117.319235', '34.503917']"
27150,92394,GEORGE AFB,6815,CA,"['-117.363516', '34.577325']"
27151,92397,WRIGHTWOOD,4148,CA,"['-117.6249', '34.362839']"
27152,92399,YUCAIPA,33298,CA,"['-117.048925', '34.028197']"
27153,92401,SAN BERNARDINO,1193,CA,"['-117.289753', '34.110521']"
27154,92404,SAN BERNARDINO,50792,CA,"['-117.260572', '34.142577']"
27155,92405,MUSCOY,35583,CA,"['-117.310765', '34.144101']"
27156,92407,SAN BERNARDINO,44927,CA,"['-117.293697', '34.20928']"
27157,92408,SAN BERNARDINO,13378,CA,"['-117.271059', '34.083127']"
27158,92409,SAN BERNARDINO,1746,CA,"['-117.241291', '34.103685']"
27159,92410,SAN BERNARDINO,42522,CA,"['-117.296789', '34.107729']"
27160,92411,SAN BERNARDINO,22994,CA,"['-117.317158', '34.121414']"
27161,92501,RIVERSIDE,18478,CA,"['-117.369421', '33.9924']"
27162,92503,RIVERSIDE,55552,CA,"['-117.458862', '33.920808']"
27163,92504,RIVERSIDE,45308,CA,"['-117.411948', '33.931458']"
27164,92505,RIVERSIDE,37420,CA,"['-117.486687', '33.922769']"
27165,92506,RIVERSIDE,37294,CA,"['-117.375696', '33.945485']"
27166,92507,RIVERSIDE,45844,CA,"['-117.338874', '33.976086']"
27167,92508,RIVERSIDE,13582,CA,"['-117.304264', '33.889676']"
27168,92509,RUBIDOUX,52456,CA,"['-117.444896', '33.997355']"
27169,92530,LAKE ELSINORE,34619,CA,"['-117.348535', '33.659816']"
27170,92532,LAKE ELSINORE,6796,CA,"['-117.271278', '33.651662']"
27171,92536,AGUANGA,2309,CA,"['-116.799693', '33.447306']"
27172,92539,ANZA,1860,CA,"['-116.71355', '33.568812']"
27173,92543,HEMET,26985,CA,"['-116.972974', '33.741613']"
27174,92544,HEMET,34483,CA,"['-116.924306', '33.738978']"
27175,92545,HEMET,19513,CA,"['-117.015078', '33.739857']"
27176,92548,HOMELAND,4290,CA,"['-117.111845', '33.74528']"
27177,92549,IDYLLWILD,3975,CA,"['-116.710665', '33.730433']"
27178,92553,MORENO VALLEY,71314,CA,"['-117.235066', '33.915719']"
